timestamp,track_id,section,vibration_hz,acoustic_emission_db,rail_strain_mu,track_temperature_c,alignment_deviation_mm,failure_probability,risk_level,fault_type,inspection_status,recommended_action,assigned_team,last_maintenance_days,action_taken
2026-07-10 20:08:14.880864,TRK-049,East,84.18317552886849,53.446595838002736,180.71866982743148,61.74022614549611,4.7516161922662485,0.9,CRITICAL,Track Misalignment,Pending,Immediate Shutdown,Team Charlie,127,No
2026-07-10 20:09:14.880864,TRK-033,South,49.20030735018287,42.75746252083,120.77156496217717,32.595507215670764,0.3672383725006089,0.5,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,85,Yes
2026-07-10 20:10:14.880864,TRK-033,South,57.45363068424976,39.17802075451209,121.99423985986768,35.28221401155159,0.6977170410995926,0.55,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Bravo,15,No
2026-07-10 20:11:14.880864,TRK-007,North,50.23218274078074,44.02138315537104,116.77971845507942,32.025092624737674,0.14378195258366405,0.42,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,56,Yes
2026-07-10 20:12:14.880864,TRK-004,East,39.23554703523759,40.544279860341916,126.05606232631312,32.37848417867743,-0.007781544435146989,0.43,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,27,Yes
2026-07-10 20:13:14.880864,TRK-028,South,48.41795775152599,35.35414510340876,109.20263678724152,28.655633319121495,-0.11290337453802092,0.42,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,2,Yes
2026-07-10 20:14:14.880864,TRK-023,North,51.219003568855996,38.68970728828535,116.50560672783044,33.36730085581986,-0.21481748926375435,0.48,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,74,Yes
2026-07-10 20:15:14.880864,TRK-032,West,68.97390030854709,58.00781186075438,151.1471848571964,47.13440129795461,2.241409682600211,0.67,HIGH,Excessive Wear,Pending,Repair Soon,Team Alpha,64,No
2026-07-10 20:16:14.880864,TRK-044,West,56.78120014285412,39.15601732864536,123.21593211339238,29.71743827919955,-0.13646666011275643,0.55,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Bravo,5,No
2026-07-10 20:17:14.880864,TRK-016,North,52.43250821913101,35.784430459589274,109.23320872528987,36.78764379504541,0.12247854658600196,0.51,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,91,Yes
2026-07-10 20:18:14.880864,TRK-046,South,45.80391238388681,42.74075387869975,114.44453220513134,27.977594497242137,0.03725479691338631,0.42,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,68,Yes
2026-07-10 20:19:14.880864,TRK-010,East,49.96964544230053,38.7610065335697,105.15943335075664,33.18984821247127,-0.312958008842301,0.44,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,141,Yes
2026-07-10 20:20:14.880864,TRK-014,North,51.005495233574834,41.37184121384573,115.45205282622307,33.561464777581506,-0.4202464927533457,0.47,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Unassigned,81,Yes
2026-07-10 20:21:14.880864,TRK-039,South,50.90933127529247,38.34838945152525,120.71253749910892,35.825180008365386,0.7970889781020061,0.48,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Unassigned,85,Yes
2026-07-10 20:22:14.880864,TRK-036,North,60.76591228755778,43.93092623835882,103.17341305877315,29.567975428250705,-0.08583682696239167,0.46,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,23,Yes
2026-07-10 20:23:14.880864,TRK-034,South,52.31051737131635,36.03993246633788,133.55442801105497,35.13051930526607,0.04226349189216227,0.49,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,97,Yes
2026-07-10 20:24:14.880864,TRK-024,West,50.93383382238539,37.30364785503062,98.22934953557146,29.6007119067206,-0.47730905097503007,0.51,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Alpha,178,No
2026-07-10 20:25:14.880864,TRK-018,North,50.498256825438204,40.20356653158221,120.72680524329341,36.38427962990959,-0.408077494514022,0.53,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,124,Yes
2026-07-10 20:26:14.880864,TRK-016,East,60.507976676277515,56.48386809445751,142.15996388965135,48.243831502773205,1.824994784391912,0.69,HIGH,Excessive Wear,In Progress,Repair Soon,Team Bravo,37,No
2026-07-10 20:27:14.880864,TRK-041,North,84.43275709978104,62.38916751222779,165.61340434402337,62.96430921575095,4.7516161922662485,0.94,CRITICAL,Track Misalignment,In Progress,Immediate Shutdown,Team Bravo,30,No
2026-07-10 20:28:14.880864,TRK-037,West,42.96244152641089,37.49457129510993,119.35311394967482,34.19873274516104,0.4680280839680081,0.41,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Alpha,151,Yes
2026-07-10 20:29:14.880864,TRK-041,West,71.572753388829,49.76334465976316,124.27342059983465,40.936551231910194,2.4771130102119927,0.67,HIGH,Excessive Wear,Pending,Repair Soon,Team Alpha,162,No
2026-07-10 20:30:14.880864,TRK-025,South,81.89216074582815,58.595396402237,153.8617630296323,67.3573796512728,4.7516161922662485,0.95,CRITICAL,Track Misalignment,In Progress,Immediate Shutdown,Team Alpha,117,No
2026-07-10 20:31:14.880864,TRK-008,West,60.383739917804206,43.670706647255884,100.88359449348243,33.564511507730906,-0.3259442912656904,0.44,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Alpha,9,No
2026-07-10 20:32:14.880864,TRK-024,South,90.45307378934712,65.5805295106328,189.3064038371703,62.51539110765424,-4.033094786962502,0.99,CRITICAL,Track Misalignment,In Progress,Immediate Shutdown,Team Alpha,132,No
2026-07-10 20:33:14.880864,TRK-020,West,48.82706433312426,37.81599117631259,125.79857285295132,37.24076763232359,-0.35903239180913216,0.59,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,66,Yes
2026-07-10 20:34:14.880864,TRK-048,South,44.48205341392114,39.209655351753256,116.57121138442436,30.005464416846195,-0.3621512671038334,0.49,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Alpha,120,Yes
2026-07-10 20:35:14.880864,TRK-030,East,49.55132152856387,42.60746819316782,113.91773492555241,24.130699743096024,0.09753846271130107,0.49,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Bravo,124,No
2026-07-10 20:36:14.880864,TRK-020,South,51.35789418597687,40.25595442769507,122.57198970355927,26.0153647473414,0.44502886623772986,0.49,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Unassigned,161,Yes
2026-07-10 20:37:14.880864,TRK-018,South,48.54153125103362,36.64114770013297,120.34441011705842,29.796072785847002,-0.2935576353100738,0.5,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Alpha,160,Yes
2026-07-10 20:38:14.880864,TRK-004,East,50.27862456144347,42.14614394632373,104.57198484790354,32.59839183007515,-0.295509227866716,0.42,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Unassigned,44,No
2026-07-10 20:39:14.880864,TRK-048,South,59.23318498023833,38.49107568834597,115.8777925497553,35.02266335497726,-0.8970959332747181,0.57,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,109,Yes
2026-07-10 20:40:14.880864,TRK-036,South,51.63463686882081,40.26597277288431,123.20785725932684,34.43810418083441,1.071503527292455,0.55,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Bravo,37,No
2026-07-10 20:41:14.880864,TRK-006,East,53.731267830136105,42.48919725363752,105.93184990502462,36.60106958359319,-0.17899521720666792,0.48,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Alpha,67,No
2026-07-10 20:42:14.880864,TRK-003,West,48.2567393279607,41.11631641782059,126.3366102477406,39.60107369724386,0.17146318866067128,0.54,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Alpha,60,No
2026-07-10 20:43:14.880864,TRK-018,North,49.686604513634144,34.68090259537936,115.22354417395995,32.96082337578489,-0.13642227317006536,0.44,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,36,Yes
2026-07-10 20:44:14.880864,TRK-047,South,67.80468065626519,55.13263955110804,144.74526843357933,49.780618296879574,2.7138458900819895,0.71,HIGH,Excessive Wear,In Progress,Repair Soon,Team Alpha,49,No
2026-07-10 20:45:14.880864,TRK-040,West,51.94289302265482,41.7850883975067,125.08608373233442,25.497823865751755,-1.4771244706210156,0.53,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Alpha,179,Yes
2026-07-10 20:46:14.880864,TRK-018,North,57.503798953171554,40.84190921347041,116.11653061698841,26.60729181829004,0.2793619184722427,0.44,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Alpha,107,No
2026-07-10 20:47:14.880864,TRK-023,East,42.403150170229935,41.53360779857494,123.67619840209711,29.860973316622708,-0.19316123772358776,0.45,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,8,Yes
2026-07-10 20:48:14.880864,TRK-035,South,52.93428546900135,45.61989332865264,118.60602799336766,33.42501115482433,0.7651672821772055,0.44,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Alpha,178,No
2026-07-10 20:49:14.880864,TRK-006,South,78.48477743205447,71.44717874137959,181.6264097447422,55.12457383416458,4.7516161922662485,0.96,CRITICAL,Track Misalignment,In Progress,Immediate Shutdown,Team Charlie,41,No
2026-07-10 20:50:14.880864,TRK-026,East,54.58930973527388,42.03362595859272,122.98158465990525,30.97487670299371,-0.17891396672063345,0.49,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Alpha,101,Yes
2026-07-10 20:51:14.880864,TRK-021,South,51.24110293150168,36.337862722257526,107.06492374795904,41.29869322341127,0.05176907697458769,0.45,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,113,Yes
2026-07-10 20:52:14.880864,TRK-024,North,72.70613301515107,47.37819282472936,135.97436974727222,44.37342340613783,2.1419659095115553,0.66,HIGH,Excessive Wear,Pending,Repair Soon,Team Alpha,109,No
2026-07-10 20:53:14.880864,TRK-015,North,47.77248739299614,39.98321194351286,113.29884799545768,32.793574068709944,0.37464127843972567,0.45,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Charlie,166,Yes
2026-07-10 20:54:14.880864,TRK-027,East,45.68004615160092,37.54873410679543,119.38996028144616,33.95109928433735,0.2457063781777635,0.49,MEDIUM,Excessive Wear,Pending,Schedule Inspection,Team Bravo,86,No
2026-07-10 20:55:14.880864,TRK-032,South,55.54351790291454,43.10574800417126,128.49611988516213,23.28812907122125,-0.04838005159344466,0.5,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Bravo,78,Yes
2026-07-10 20:56:14.880864,TRK-012,West,51.80697802754207,42.382794038865484,107.306695034533,29.61435436812448,0.28822567256121134,0.43,MEDIUM,Excessive Wear,Completed,Schedule Inspection,Team Alpha,55,Yes
2026-07-10 20:57:14.880864,TRK-005,South,66.49837021406415,55.091391354174895,133.37823403366718,46.19898402298054,2.489774555704342,0.65,HIGH,Excessive Wear,Pending,Repair Soon,Team Bravo,110,No
2026-07-10 20:58:14.880864,TRK-007,East,68.35189418851668,54.5677885177748,144.2495361432822,46.08946435718883,2.3342630748693467,0.72,HIGH,Excessive Wear,In Progress,Repair Soon,Team Alpha,146,No
